claim,evidence,label
The Promise is a historical period drama movie.,"The Promise is a 2016 American historical drama film directed by Terry George and starring Oscar Isaac , Charlotte Le Bon and Christian Bale , set in the final years of the Ottoman Empire . Terry George Terry George Oscar Isaac Oscar Isaac Charlotte Le Bon Charlotte Le Bon Christian Bale Christian Bale historical Historical period drama drama Drama (film and television) Ottoman Empire Ottoman Empire",REFUTES
Drop Dead Gorgeous follows the contestants in the Sarah Rose Cosmetics Mount Rose American Child Princess Pageant.,"Shot in a mockumentary format , it follows the contestants in a beauty pageant called the Sarah Rose Cosmetics Mount Rose American Teen Princess Pageant , held in the small fictional town of Mount Rose , Minnesota , in which various contestants die in suspicious ways . mockumentary mockumentary beauty pageant beauty pageant Minnesota Minnesota",REFUTES
Red Hot Chili Peppers have nothing to do with Los Angeles.,"Red Hot Chili Peppers , also sometimes shortened to The Chili Peppers or abbreviated as RHCP , are an American alternative rock/funk rock band formed in Los Angeles in 1983 . alternative rock alternative rock funk rock funk rock Los Angeles Los Angeles funk funk",REFUTES
Whiplash is a film.,"Whiplash is a 2014 American drama film written and directed by Damien Chazelle , depicting the relationship between an ambitious jazz student -LRB- Miles Teller -RRB- and an aggressive instructor -LRB- J. K. Simmons -RRB- . Damien Chazelle Damien Chazelle Miles Teller Miles Teller J. K. Simmons J. K. Simmons drama film Drama (modern genre) jazz jazz The film opened in limited release domestically in the US and Canada on October 10 , 2014 , gradually expanding to over 500 screens and finally closing after 24 weeks on March 26 , 2015 . Over this time the film grossed $ 49 million , against a production budget of $ 3.3 million . At the 87th Academy Awards , Whiplash won Best Film Editing , Best Sound Mixing , and Best Supporting Actor for Simmons , and was nominated for Best Adapted Screenplay and Best Picture . 87th Academy Awards 87th Academy Awards Best Film Editing Academy Award for Best Film Editing Best Sound Mixing Academy Award for Best Sound Best Supporting Actor Academy Award for Best Supporting Actor Best Adapted Screenplay Academy Award for Best Adapted Screenplay Best Picture Academy Award for Best Picture",SUPPORTS
The Incredible Hulk sold 263 million comic books.,,NEI
Machine Gun Kelly did not release Till I Die.,"MGK has also appeared in various films , starring in Beyond the Lights , as Kid Culprit . Beyond the Lights Beyond the Lights",REFUTES
Gwen Stefani is not a television personality.,"Gwen Renée Stefani -LRB- -LSB- gwɛn_ˈstəˈfɑːni -RSB- born October 3 , 1969 -RRB- is an American singer , songwriter , fashion designer , actress , and television personality .",REFUTES
Jean-Martin Charcot was a professor of anatomy.,,NEI
Streptococcus belongs to an order of lactic acid bacteria and it is in the field of biology.,"Streptococcus is a genus of coccus -LRB- spherical -RRB- Gram-positive bacteria belonging to the phylum Firmicutes and the order Lactobacillales -LRB- lactic acid bacteria -RRB- . Firmicutes Firmicutes Lactobacillales Lactobacillales genus genus coccus coccus Gram-positive bacteria Gram-positive bacteria A genus -LRB- -LSB- ˈdʒiːnəs -RSB- , genera -RRB- is a taxonomic rank used in the biological classification of living and fossil organisms in biology . taxonomic Taxonomy (biology) biological classification biological classification living extant taxon fossil fossil biology biology",SUPPORTS
John McCain worked to elect the Canadian Prime Minister.,,NEI
